Player,Pos,Squad,Comp,npxG,-9999
Simeon Nwankwo,FW,Salernitana,it Serie A,3.4,80dbbd10
Moussa Sissoko,MF,Watford,eng Premier League,3.4,2acd49b9
Sambou Soumano,FW,Lorient,fr Ligue 1,3.4,7cc00776
Morten Thorsby,MF,Sampdoria,it Serie A,3.4,d1b49282
Francisco Trincão,FWMF,Wolves,eng Premier League,3.4,77e39b04
Hakim Ziyech,FWMF,Chelsea,eng Premier League,3.4,6622454d
Marcos Alonso,DF,Chelsea,eng Premier League,3.3,f4290206
El Bilal Touré,FW,Reims,fr Ligue 1,3.3,47c609d5
Tino Kadewere,FW,Lyon,fr Ligue 1,3.3,7d08063d
Justin Kluivert,MF,Nice,fr Ligue 1,3.3,4c3a6744
Giulio Maggiore,MF,Spezia,it Serie A,3.3,957e4c87
Isaac Palazón Camacho,FWMF,Rayo Vallecano,es La Liga,3.3,49dbab27
Lucas Pérez,FWMF,Cádiz,es La Liga,3.3,a300ac7e
Alexis Saelemaekers,FW,Milan,it Serie A,3.3,ee251371
Jadon Sancho,FWMF,Manchester Utd,eng Premier League,3.3,dbf053da
Martin Satriano,FW,Brest,fr Ligue 1,3.3,86383d0e
Ellyes Skhiri,MF,Köln,de Bundesliga,3.3,c2211709
Robert Andrich,MF,Leverkusen,de Bundesliga,3.2,e0b113a7
Keita Baldé,FWMF,Cagliari,it Serie A,3.2,509a4ccb
Jonathan Bamba,MFFW,Lille,fr Ligue 1,3.2,b2bd0f6c
Davide Calabria,DF,Milan,it Serie A,3.2,2146785a
Niko Gießelmann,DF,Union Berlin,de Bundesliga,3.2,7242b495
Tete Morente,MFFW,Elche,es La Liga,3.2,004d185e
Christian Nørgaard,MF,Brentford,eng Premier League,3.2,df0a4c90
Flavien Tait,MF,Rennes,fr Ligue 1,3.2,a0f9b535
Pau Torres,DF,Villarreal,es La Liga,3.2,532e1e4f
Cédric Bakambu,FW,Marseille,fr Ligue 1,3.1,0af4dcf0
Steven Bergwijn,FWMF,Tottenham,eng Premier League,3.1,a29b1131
Emi Buendía,FWMF,Aston Villa,eng Premier League,3.1,66b76d44
William Carvalho,MF,Betis,es La Liga,3.1,dee86451
Adri Embarba,FWMF,Espanyol,es La Liga,3.1,db8f0eba
Joe Gelhardt,FWMF,Leeds United,eng Premier League,3.1,01962d0d
Takefusa Kubo,FWMF,Mallorca,es La Liga,3.1,16aa3654
Juraj Kucka,MF,Watford,eng Premier League,3.1,5aaef9ef
Joël Matip,DF,Liverpool,eng Premier League,3.1,b217ef29
Danilo Pereira,MF,Paris S-G,fr Ligue 1,3.1,8fd9996f
Marco Richter,FWMF,Hertha BSC,de Bundesliga,3.1,f972644c
Luis Rioja,FWMF,Alavés,es La Liga,3.1,eb3dd471
Jeffrey Schlupp,MFFW,Crystal Palace,eng Premier League,3.1,3312f911
Youri Tielemans,MF,Leicester City,eng Premier League,3.1,56f7a928
Simone Verdi,FWMF,Salernitana,it Serie A,3.1,0375723e
Jordan Veretout,MF,Roma,it Serie A,3.1,4a56052c
Nico Williams,MF,Athletic Club,es La Liga,3.1,afdc14d7
Sheraldo Becker,FWMF,Union Berlin,de Bundesliga,3.0,8eb55dbb
Jacob Bruun Larsen,FWMF,Hoffenheim,de Bundesliga,3.0,4e204552
Sergi Canós,DF,Brentford,eng Premier League,3.0,1137759d
Javairô Dilrosun,MFFW,Bordeaux,fr Ligue 1,3.0,34a0f5ff
Anthony Elanga,FW,Manchester Utd,eng Premier League,3.0,2fba6108
Aleksandr Golovin,FWMF,Monaco,fr Ligue 1,3.0,3708e9fa
Nathanael Mbuku,FWMF,Reims,fr Ligue 1,3.0,46750e9c
Alberto Moreno,MFDF,Villarreal,es La Liga,3.0,11b9265b
M'Bala Nzola,FW,Spezia,it Serie A,3.0,a4948e67
Roberto Pereyra,MFFW,Udinese,it Serie A,3.0,75f2c59f
Sergio Reguilón,DF,Tottenham,eng Premier League,3.0,3353737a
Nicola Sansone,FWMF,Bologna,it Serie A,3.0,7eb97a8e
Janni Serra,FW,Arminia,de Bundesliga,3.0,40b58bfc
Stephan El Shaarawy,DFFW,Roma,it Serie A,3.0,d3aaad90
Calvin Stengs,MF,Nice,fr Ligue 1,3.0,8f7e6783
Matěj Vydra,FW,Burnley,eng Premier League,3.0,0d4ceb32
Andi Zeqiri,FWMF,Augsburg,de Bundesliga,3.0,d01231f0
Piotr Zieliński,MF,Napoli,it Serie A,3.0,a5296e55
Guido Carrillo,FW,Elche,es La Liga,2.9,8f898ba8
Craig Dawson,DF,West Ham,eng Premier League,2.9,3e9e06cb
Gonzalo Escalante,MF,Alavés,es La Liga,2.9,3f79a1c8
Przemysław Frankowski,DF,Lens,fr Ligue 1,2.9,00a8d210
Andrei Girotto,DFMF,Nantes,fr Ligue 1,2.9,3befc2b6
Bruno Guimarães,MF,Newcastle Utd,eng Premier League,2.9,82518f62
Theo Hernández,DF,Milan,it Serie A,2.9,d4c9725f
Pontus Jansson,DF,Brentford,eng Premier League,2.9,172e52d8
Ibrahima Koné,FW,Lorient,fr Ligue 1,2.9,04bb2b06
Álex Moreno,DF,Betis,es La Liga,2.9,16e9d0ea
Jacob Murphy,FWDF,Newcastle Utd,eng Premier League,2.9,de112b84
Nicolas Pépé,FWMF,Arsenal,eng Premier League,2.9,57e3f0c7
Manolo Portanova,FWMF,Genoa,it Serie A,2.9,c8c0dccd
Khéphren Thuram-Ulie,MF,Nice,fr Ligue 1,2.9,7d9397f8
Stuart Armstrong,MF,Southampton,eng Premier League,2.8,97333cf5
Franco Cervi,MF,Celta Vigo,es La Liga,2.8,5e1028e5
Sergi Darder,MF,Espanyol,es La Liga,2.8,070a3904
Ousmane Dembélé,FW,Barcelona,es La Liga,2.8,b19db005
Ryan Fraser,FWMF,Newcastle Utd,eng Premier League,2.8,d56543a0
Alexander Hack,DF,Mainz 05,de Bundesliga,2.8,a5ec3ede
Gaël Kakuta,MFFW,Lens,fr Ligue 1,2.8,5b1bf5e3
Nikola Kalinić,FW,Hellas Verona,it Serie A,2.8,d4931a5a
Filip Kostić,DFFW,Eint Frankfurt,de Bundesliga,2.8,b1cd37e6
Konstantinos Mavropanos,DF,Stuttgart,de Bundesliga,2.8,00963611
Eric Maxim Choupo-Moting,FWMF,Bayern Munich,de Bundesliga,2.8,0e6bc38c
Sandro Ramírez,FW,Getafe,es La Liga,2.8,833fb62e
Dani Rodríguez,MFFW,Mallorca,es La Liga,2.8,70f8e0bd
Antonio Rüdiger,DF,Chelsea,eng Premier League,2.8,18b896d6
Carlos Soler,MF,Valencia,es La Liga,2.8,fed17f5a
Trent Alexander-Arnold,DF,Liverpool,eng Premier League,2.7,cd1acf9d
Kevin Behrens,FW,Union Berlin,de Bundesliga,2.7,30ae134d
Darío Benedetto,FW,Elche,es La Liga,2.7,bef0a7ac
Álex Cantero,FWMF,Levante,es La Liga,2.7,4aa253fd
Jonathan Clauss,DF,Lens,fr Ligue 1,2.7,5219ab4a
Federico Dimarco,DF,Inter,it Serie A,2.7,970b8574
Gabriel Dos Santos,DF,Arsenal,eng Premier League,2.7,67ac5bb8
Abdoulaye Doucouré,MF,Everton,eng Premier League,2.7,02b29014
Davide Faraoni,DF,Hellas Verona,it Serie A,2.7,aae9d04a
Philipp Förster,FWMF,Stuttgart,de Bundesliga,2.7,76fa965f
Moi Gómez,MFFW,Villarreal,es La Liga,2.7,5a626448
Thorgan Hazard,FWDF,Dortmund,de Bundesliga,2.7,50871bcc
Cedric Itten,FW,Greuther Fürth,de Bundesliga,2.7,ef233486
Mateusz Klich,MF,Leeds United,eng Premier League,2.7,282679b4
Érik Lamela,FW,Sevilla,es La Liga,2.7,abe66106
Éder Militão,DF,Real Madrid,es La Liga,2.7,2784f898
Willi Orban,DF,RB Leipzig,de Bundesliga,2.7,20030c06
Mathias Pereira Lage,DF,Angers,fr Ligue 1,2.7,8846a40f
Matteo Pessina,MFFW,Atalanta,it Serie A,2.7,780e3631
Matteo Politano,FW,Napoli,it Serie A,2.7,5e861944
Milot Rashica,FWMF,Norwich City,eng Premier League,2.7,6c6a3300
Rodri,MF,Manchester City,eng Premier League,2.7,6434f10d
Romain Saïss,DF,Wolves,eng Premier League,2.7,9fbbcf39
Josh Sargent,FWMF,Norwich City,eng Premier League,2.7,a8d4428b
David Silva,MF,Real Sociedad,es La Liga,2.7,e2716bd0
Wilfried Singo,DF,Torino,it Serie A,2.7,8b609c34
Andreas Voglsammer,FWMF,Union Berlin,de Bundesliga,2.7,daa78200
Filippo Bandinelli,MF,Empoli,it Serie A,2.6,d44360be
Leonardo Bonucci,DF,Juventus,it Serie A,2.6,52ec54d0
Leander Dendoncker,MF,Wolves,eng Premier League,2.6,5a7301ae
Romain Hamouma,FW,Saint-Étienne,fr Ligue 1,2.6,0b4d8274
Josip Iličić,FWMF,Atalanta,it Serie A,2.6,68252d6d
Marcus Ingvartsen,FWMF,Mainz 05,de Bundesliga,2.6,271b8617
Reece James,DF,Chelsea,eng Premier League,2.6,1265a93a
Vitaly Janelt,MF,Brentford,eng Premier League,2.6,8449d35e
Rominigue Kouamé,MF,Troyes,fr Ligue 1,2.6,86a2ba20
Max Kruse,FWMF,Union Berlin,de Bundesliga,2.6,f9446dcd
Philipp Lienhart,DF,Freiburg,de Bundesliga,2.6,302527b2
Gonzalo Melero,MF,Levante,es La Liga,2.6,3902e91b
Obite N'Dicka,DF,Eint Frankfurt,de Bundesliga,2.6,441197b8
M'Baye Niang,FW,Bordeaux,fr Ligue 1,2.6,2054d037
Nils Petersen,FWMF,Freiburg,de Bundesliga,2.6,f93e6e94
Nicolas de Préville,FWMF,Metz,fr Ligue 1,2.6,b0547a87
Gerson Rodrigues,FW,Troyes,fr Ligue 1,2.6,3814b753
Valentin Rongier,DFMF,Marseille,fr Ligue 1,2.6,ed45c4a5
Oihan Sancet,FW,Athletic Club,es La Liga,2.6,bdb624a3
Ibrahima Sissoko,MFDF,Strasbourg,fr Ligue 1,2.6,0f8418aa
Georginio Wijnaldum,MF,Paris S-G,fr Ligue 1,2.6,eb58eef0
Kevin Agudelo,MFFW,Spezia,it Serie A,2.5,46fa7204
Christopher Antwi-Adjei,FWMF,Bochum,de Bundesliga,2.5,0a3f6cde
Jean-Ricner Bellegarde,MF,Strasbourg,fr Ligue 1,2.5,10f0fdd3
Mahdi Camara,MFDF,Saint-Étienne,fr Ligue 1,2.5,8577e60a
Diego Carlos,DF,Sevilla,es La Liga,2.5,b4a014b1
David Pereira da Costa,MFFW,Lens,fr Ligue 1,2.5,59948ef7
Cucho,FWMF,Watford,eng Premier League,2.5,71b47ab9
Matt Doherty,DF,Tottenham,eng Premier League,2.5,d557d734
Joško Gvardiol,DF,RB Leipzig,de Bundesliga,2.5,5ad50391
Amine Harit,FWMF,Marseille,fr Ligue 1,2.5,e7d59f4f
Liam Henderson,MF,Empoli,it Serie A,2.5,d7918b13
Adnan Januzaj,FWMF,Real Sociedad,es La Liga,2.5,4737cebe
Mathias Jensen,MF,Brentford,eng Premier League,2.5,0f134faf
Nemanja Maksimović,MF,Getafe,es La Liga,2.5,00b28772
Roberto Massimo,DFFW,Stuttgart,de Bundesliga,2.5,fc62fdf4
Opa Nguette,FWMF,Metz,fr Ligue 1,2.5,75a63397
Thomas Partey,MF,Arsenal,eng Premier League,2.5,529f49ab
Lucas Pérez,FW,Elche,es La Liga,2.5,a300ac7e
Krzysztof Piątek,FW,Fiorentina,it Serie A,2.5,17f3620a
Dennis Praet,FWMF,Torino,it Serie A,2.5,86695068
Ante Rebić,FW,Milan,it Serie A,2.5,536cebe5
Milan Škriniar,DF,Inter,it Serie A,2.5,30f5ffa9
Riccardo Sottil,FW,Fiorentina,it Serie A,2.5,94816803
Isaac Success,FW,Udinese,it Serie A,2.5,f573a8bf
Kamaldeen Sulemana,MFFW,Rennes,fr Ligue 1,2.5,a62f8bf1
Ferrán Torres,FW,Manchester City,eng Premier League,2.5,9e1035f8
Aster Vranckx,MF,Wolfsburg,de Bundesliga,2.5,f86cd5df
Stefan de Vrij,DF,Inter,it Serie A,2.5,d0d8dd44
Kelvin Amian,DF,Spezia,it Serie A,2.4,bcc81786
Leandro Barreiro Martins,MF,Mainz 05,de Bundesliga,2.4,00242b75
Jan Bednarek,DF,Southampton,eng Premier League,2.4,4115ce4e
Casemiro,MF,Real Madrid,es La Liga,2.4,4d224fe8
Matty Cash,DF,Aston Villa,eng Premier League,2.4,2389cdc2
Federico Di Francesco,FWMF,Empoli,it Serie A,2.4,1fca9171
Virgil van Dijk,DF,Liverpool,eng Premier League,2.4,e06683ca
Jeremy Dudziak,MFFW,Greuther Fürth,de Bundesliga,2.4,5a8d6540
Elif Elmas,FWMF,Napoli,it Serie A,2.4,cf007308
Romain Faivre,MF,Brest,fr Ligue 1,2.4,745ca0a3
Papu Gómez,MFFW,Sevilla,es La Liga,2.4,6e4df551
Robin Hack,FWMF,Arminia,de Bundesliga,2.4,0174ba21
Pierre-Yves Hamel,FW,Clermont Foot,fr Ligue 1,2.4,a99da9ec
Genki Haraguchi,MF,Union Berlin,de Bundesliga,2.4,f24ea523
Jean Lucas,MF,Monaco,fr Ligue 1,2.4,a99138af
Jakub Moder,MFFW,Brighton,eng Premier League,2.4,f230bc30
Nordi Mukiele,DF,RB Leipzig,de Bundesliga,2.4,ac73ec79
Amadou Onana,MF,Lille,fr Ligue 1,2.4,828657ff
Dango Ouattara,MFFW,Lorient,fr Ligue 1,2.4,2f9e4435
Jens Petter Hauge,FWMF,Eint Frankfurt,de Bundesliga,2.4,12c35abe
Paul Pogba,MFFW,Manchester Utd,eng Premier League,2.4,867239d3
Marcus Rashford,FWMF,Manchester Utd,eng Premier League,2.4,a1d5bd30
Tyler Roberts,MFFW,Leeds United,eng Premier League,2.4,6c17e046
Alessandro Schöpf,MF,Arminia,de Bundesliga,2.4,106bca06
Davie Selke,FW,Hertha BSC,de Bundesliga,2.4,1238a3f9
Suat Serdar,MFFW,Hertha BSC,de Bundesliga,2.4,b3325a30
Tetê,FWMF,Lyon,fr Ligue 1,2.4,7120a04d
Jean-Clair Todibo,DF,Nice,fr Ligue 1,2.4,88f130ed
Adama Traoré,FW,Wolves,eng Premier League,2.4,9a28eba4
Tuta,DF,Eint Frankfurt,de Bundesliga,2.4,35d64857
